Player,Baseline_Pace_Adjusted_AAS,AAS_Std_Dev,Avg_USG_Pct,L10_Pace_Adjusted_AAS,L30_Pace_Adjusted_AAS,L50_Pace_Adjusted_AAS,Home_Pace_Adjusted_AAS,Away_Pace_Adjusted_AAS,B2B_Pace_Adjusted_AAS,Composite_Predictive_Pace_Adjusted_AAS,Projected_PTS,Projected_REB,Projected_AST,Projected_STL,Projected_BLK,Projected_TOV,Projected_FG3M
Tyrese Maxey,45.07727272727273,14.006125109994121,0.0,56.879999999999995,48.34,47.25000000000001,44.8768115942029,45.29682539682539,45.60952380952381,45.78959709090908,29.921969696969697,4.271969696969697,7.251515151515151,1.2515151515151515,0.7424242424242424,2.3613636363636363,3.618181818181818
Nikola Jokic,60.901898734177216,15.144751551496608,0.0,61.879999999999995,63.36333333333334,64.058,62.30963855421687,59.34399999999999,60.964,54.83418749367088,26.120253164556964,12.481645569620254,10.54493670886076,1.7474683544303797,0.779746835443038,3.0164556962025317,1.5936708860759494
Lauri Markkanen,37.236607142857146,12.96229456063645,0.0,42.910000000000004,34.20333333333334,34.238,38.387499999999996,36.08571428571429,35.407142857142865,36.341520857142854,24.71964285714286,6.676785714285714,1.9473214285714286,0.8607142857142858,0.40982142857142856,1.3464285714285715,3.1401785714285717
Shai-Gilgeous-Alexander,52.86851851851852,12.118168036025263,0.0,53.489999999999995,54.64333333333333,54.19200000000001,55.30121951219512,50.375,53.47142857142857,45.64965940740741,32.25,5.226543209876543,6.188888888888888,1.404320987654321,0.9814814814814814,1.923456790123457,1.9672839506172841
