By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2025-26,OKC,11,35,121.7,107.5,14.3,31.0,3.47,18.0,1.0,12.9,7.0,5.2,56.9,64.3,33.3,100.15,21.1
2024-25,OKC,76,34,122.4,105.7,16.7,29.9,2.66,18.7,2.5,11.2,6.9,7.0,56.9,63.7,33.6,101.91,19.9
2023-24,OKC,75,34,121.0,109.7,11.3,28.7,2.87,19.5,2.6,12.8,8.0,6.8,56.7,63.6,31.7,102.45,18.7
2022-23,OKC,68,36,116.1,113.3,2.7,24.9,1.93,16.4,2.3,10.9,6.5,8.5,53.1,62.6,31.8,103.47,17.5
2021-22,OKC,56,35,106.6,113.0,-6.4,29.3,2.15,19.4,1.7,11.4,6.5,9.0,49.6,55.7,29.8,101.41,13.4
2020-21,OKC,35,34,107.2,114.9,-7.7,31.1,1.95,21.2,1.5,11.9,6.7,10.8,57.1,62.3,28.3,100.10,14.6
2019-20,OKC,70,35,112.7,109.2,3.5,14.8,1.73,15.1,2.0,14.6,8.5,8.7,51.4,56.8,23.5,99.60,12.3
2018-19,LAC,82,27,108.8,110.8,-2.0,17.9,1.91,22.3,2.6,7.8,5.3,11.6,51.2,55.4,18.2,103.25,8.3
